region,year,grid_gco2_kwh,source
France,2015,52,ember_eea
France,2018,58,ember_eea
France,2020,52,ember_eea
France,2023,56,ember_eea
Germany,2015,470,ember_eea
Germany,2018,440,ember_eea
Germany,2020,337,ember_eea
Germany,2023,371,ember_eea
Portugal,2015,240,ember_eea
Portugal,2018,250,ember_eea
Portugal,2020,190,ember_eea
Portugal,2023,125,ember_eea
EU,2015,330,ember_eea
EU,2018,300,ember_eea
EU,2020,250,ember_eea
EU,2023,242,ember_eea
Global,2015,490,ember_eea
Global,2018,490,ember_eea
Global,2020,460,ember_eea
Global,2023,480,ember_eea
